Date,Price
2024-06-26,60749.89619402014
2024-06-27,61562.64532550036
2024-06-28,60317.09697945116
2024-06-29,60864.44316193428
2024-06-30,62734.39383945474
2024-07-01,62819.82226921849
2024-07-02,62042.5650371006
2024-07-03,60244.68076433092
2024-07-04,57189.17412408636
2024-07-05,56739.86285107204
2024-07-06,58230.4841542266
2024-07-07,55880.3753776708
2024-07-08,56665.140733520275
2024-07-09,57988.30351208401
2024-07-10,57704.202284462874
2024-07-11,57388.192479166675
2024-07-12,57899.28895749592
2024-07-13,59152.71913887286
2024-07-14,60942.32773996293
2024-07-15,64835.48973321571
2024-07-16,65162.23625234354
2024-07-17,64136.31384360687
2024-07-18,63959.56900809379
2024-07-19,66689.54880734957
2024-07-20,67206.06470614894
2024-07-21,68088.13996324532
2024-07-22,67607.71339918874
2024-07-23,65942.41746522837
2024-07-24,65403.53513022529
2024-07-25,65749.96361965332
2024-07-26,67920.2964857025
2024-07-27,68055.40838968738
2024-07-28,68242.2474440493
2024-07-29,66770.32091848266
2024-07-30,66219.05102486102
2024-07-31,64679.778647032515
2024-08-01,65357.52960767435
2024-08-02,61407.29547397454
2024-08-03,60738.7449250574
2024-08-04,58006.206586686734
2024-08-05,53956.26184159744
2024-08-06,55959.84107399357
2024-08-07,55099.95181146735
2024-08-08,61859.03159904161
2024-08-09,60912.588533350805
2024-08-10,60887.70861641504
2024-08-11,58804.23449992608
2024-08-12,59350.07433270696
2024-08-13,60601.22317789727
2024-08-14,58739.19382231015
2024-08-15,57624.11692852191
2024-08-16,58881.92579151217
2024-08-17,59430.79163445865
2024-08-18,58438.293742685404
2024-08-19,59574.945812940874
2024-08-20,59060.12610074137
2024-08-21,61144.68762866613
2024-08-22,60387.54062321362
2024-08-23,64049.68561555576
2024-08-24,64157.1606134782
2024-08-25,64265.81631272862
2024-08-26,62922.58634676265
2024-08-27,59526.560879590994
2024-08-28,59015.29633887944
2024-08-29,59351.5794909728
2024-08-30,59156.246036463555
2024-08-31,58960.23658664587
2024-09-01,57357.71617282246
2024-09-02,59108.73235863689
2024-09-03,57504.538586220435
2024-09-04,57987.84601410068
2024-09-05,56132.404732088595
2024-09-06,53923.35611071905
2024-09-07,54150.9383589072
2024-09-08,54792.40755768575
2024-09-09,57049.118751143265
2024-09-10,57624.16178336144
2024-09-11,57381.764445000474
2024-09-12,58106.951229815284
2024-09-13,60620.62747295754
2024-09-14,60003.29940083042
2024-09-15,59214.80226801806
2024-09-16,58211.123231286256
2024-09-17,60317.0319794625
2024-09-18,61440.41208494509
2024-09-19,62966.52931910512
2024-09-20,63128.224540748255
2024-09-21,63403.402349259355
2024-09-22,63582.59956924825
2024-09-23,63327.02654450202
2024-09-24,64334.14274876097
2024-09-25,63151.89959401337
2024-09-26,65130.76884023231
2024-09-27,65791.00212541742
2024-09-28,65934.10709441357
2024-09-29,65663.68986662335
2024-09-30,63243.27532464382
2024-10-01,60872.668543725544
2024-10-02,60655.55979196848
2024-10-03,60727.86395169296
2024-10-04,62103.01047283253
2024-10-05,62091.932585194016
2024-10-06,62811.79972811266
2024-10-07,62287.39010510681
2024-10-08,62185.230423727575
2024-10-09,60597.15045618275
2024-10-10,60195.18073772453
2024-10-11,62392.34048293159
2024-10-12,63207.77062127557
2024-10-13,62829.533686088886
2024-10-14,66049.99492708022
2024-10-15,66962.21994496793
2024-10-16,67647.54414766871
2024-10-17,67328.10527002988
2024-10-18,68465.61920668735
2024-10-19,68388.87128965274
2024-10-20,68962.82918045693
2024-10-21,67394.85775735618
2024-10-22,67351.04793512498
2024-10-23,66683.96806542306
2024-10-23,67089.01141609807
